number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
135,20181220,打燈謎,張九齡,王九龍,,,,,,,,,
136,20181221,論捧逗,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,杭州專場,誰家的捧哏這樣,,
137,20181221,學評戲,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,杭州專場,,,
138,20181231,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,天津跨年專場,,,
139,20181231,鈴鐺譜,孟鶴堂,周九良,多比肥?,YOUKU,,,,天津跨年專場,很碎,,
140,20181231,返場,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,天津跨年專場,《告白氣球》、《過火》、《問》、《你怎麼捨得我難過》《安妮》、《滴答》,,
141,20190102,日遭三險,張九齡,,???字幕?,微博,單,,,天橋劇場,,,
142,20190105,學評書,張九南,高九成,拖拉機字幕?,YouTube,,,,天橋劇場,,,
143,20190112,八大吉祥,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,石家莊有新人,,,
144,20190112,大保鏢,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,石家莊有新人,,,
145,20190112,返場（百忍圖）,孟鶴堂、周九良、張番、劉銓淼、謝金、李鶴東,,叫什麼不吃?字幕?,YouTube,群,,ν,石家莊有新人,,,
146,20190117,學評書,劉筱亭,張九泰,土豆??工廠字幕?,微博,,,,新街口,,,
147,20190125,繞口令,李霄樵、劉?、宋昊然,,大千世界字幕?,微博,群,,,七隊小封箱,,,
148,20190125,雙簧,周九良、劉?、宋昊然、李霄樵、孟鶴堂,,叫什麼不吃?字幕?,微博,群,,,七隊小封箱,,,
149,20190125,對你有意見,劉筱亭、孟鶴堂、張九泰,,叫什麼不吃?字幕?,YouTube,群,,,七隊小封箱,底：找五子,,
150,20190125,葫蘆娃,七隊全員,,七七如律令字幕?,YouTube,,相聲劇,,七隊小封箱,,,
151,20190125,返場,七隊全員,,叫什麼不吃?字幕?,微博,,,ν,七隊小封箱,我說你猜,,
152,20190201,學評戲,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,ν,滑鐵盧大學春晚,,,
153,20190207,學啞語,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,師父天津省親專場助演, ,,
154,20190208,周文王,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,師父天津省親專場助演,B-box 讓鋼絲球顫抖,,
155,20190223,汾河灣,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,北京有新人,,,
156,20190223,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,北京有新人,,,
157,20190301,找堂會,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,長春德雲社,堂吃水果,,
158,20190302,偷斧子,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,ν,長春德雲社,《牙痕記》、《女兒情》,,
159,20190308,捉放曹,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,西安有新人,,,
160,20190308,誇住宅,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,西安有新人,,,
161,20190308,返場（孟鶴堂懷孕了 你知道嗎？）,孟鶴堂、周九良、張番、劉銓淼、謝金、李鶴東,,叫什麼不吃?字幕?,微博,群,,ν,西安有新人,,,
162,20190309,論捧逗,張九齡,王九龍,不??吧,,,,,國圖專場,,,
163,20190310,當行論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,武漢有新人,,,
164,20190314,學滿語,尚九熙,何九華,午?已到字幕?,YouTube,,,,三裡屯,德雲斷頭台,,
165,20190315,論捧逗,秦霄賢,何九華,一?白?字幕?,YouTube,,,,三裡屯,,,
166,20190316,學評戲,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,廣州有新人,,,
167,20190316,周文王,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,廣州有新人,,,
168,20190316,返場（孟鶴堂懷孕了 你知道嗎？）,孟鶴堂、周九良、張番、劉銓淼、謝金、李鶴東,,叫什麼不吃?字幕?,YouTube,群,,ν,廣州有新人,,,
